timestamp,modulo,vibrazione (m/s^2),frequenza (Hz)
2025-04-15 16:27:50,a,1.02,4.33
2025-04-15 16:27:52,a,0.98,0.52
2025-04-15 16:30:10,a,0.94,5.56
2025-04-15 16:30:16,a,0.97,0.15
2025-04-15 16:30:17,a,1.0,3.02
2025-04-15 16:30:32,a,0.96,0.07
2025-04-15 16:30:32,a,1.02,3.32
2025-04-15 16:30:33,a,0.98,0.9
2025-04-15 16:30:33,a,1.02,12.5
2025-04-15 16:31:05,a,1.06,12.5
2025-04-15 16:38:33,a,0.95,10.99
2025-04-15 16:38:33,a,1.32,16.67
2025-04-15 16:38:35,a,0.9,20.0
2025-04-15 16:38:37,a,0.98,9.09
2025-04-15 16:38:37,a,1.03,12.35
2025-04-15 16:38:37,a,0.99,3.12
2025-04-15 16:38:37,a,0.96,14.08
2025-04-15 16:38:38,a,0.91,12.82
2025-04-15 16:38:38,a,1.1,16.39
2025-04-15 16:38:38,a,0.95,8.33
2025-04-15 16:38:38,a,0.99,12.35
2025-04-15 16:38:38,a,1.02,16.95
2025-04-15 16:38:38,a,1.08,20.0
2025-04-15 16:38:39,a,1.16,10.1
2025-04-15 16:38:39,a,1.04,11.11
2025-04-15 16:38:39,a,0.99,16.95
2025-04-15 16:38:40,a,0.88,19.61
2025-04-15 16:38:40,a,1.04,16.95
2025-04-15 16:38:41,a,0.97,6.62
2025-04-15 16:38:41,a,1.09,2.84
2025-04-15 16:41:02,a,0.98,3.03
2025-04-15 16:41:02,a,1.07,20.0
2025-04-15 16:41:07,a,0.98,3.55
2025-04-15 16:41:07,a,1.02,12.35
2025-04-15 16:41:20,a,0.97,0.09
2025-04-15 16:41:41,a,1.03,5.26
2025-04-15 16:41:47,a,0.99,0.15
2025-04-15 16:41:53,a,1.04,2.85
2025-04-15 16:41:53,a,0.99,3.85
2025-04-15 16:41:54,a,1.03,1.92
2025-04-15 16:42:02,a,0.98,0.12
2025-04-15 16:42:33,a,1.08,19.61
2025-04-15 16:42:34,a,0.99,12.5
2025-04-15 16:45:26,a,0.99,12.35
2025-04-15 16:45:26,a,1.02,16.67
2025-04-15 16:46:29,a,0.97,1.01
2025-04-15 16:46:53,a,1.04,0.15
2025-04-15 16:47:41,a,0.98,14.29
2025-04-15 16:47:46,a,1.03,16.95
2025-04-15 16:47:46,a,1.16,14.29
2025-04-15 16:47:46,a,0.95,11.11
2025-04-15 16:47:47,a,1.03,16.95
2025-04-15 16:47:47,a,0.99,11.24
2025-04-15 16:47:48,a,1.03,3.82
2025-04-15 16:47:48,a,1.07,20.0
2025-04-15 16:48:07,a,1.09,0.08
2025-04-15 16:48:08,a,1.15,16.39
2025-04-15 16:48:10,a,0.95,12.2
2025-04-15 16:48:11,a,1.06,19.61
2025-04-15 16:48:13,a,1.01,7.69
2025-04-15 16:48:13,a,0.93,4.52
2025-04-15 16:48:13,a,1.31,20.0
2025-04-15 16:48:14,a,0.99,16.67
2025-04-15 16:48:14,a,1.03,14.08
2025-04-15 16:48:14,a,0.97,5.0
2025-04-15 16:48:15,a,1.13,12.82
2025-04-15 16:48:17,a,0.96,7.75
2025-04-15 16:48:34,a,1.06,0.06
2025-04-15 16:48:35,a,0.9,12.66
2025-04-15 16:48:37,a,0.77,19.61
2025-04-15 16:48:37,a,0.96,9.01
2025-04-15 16:48:40,a,1.01,12.2
2025-04-15 16:48:40,a,0.97,14.08
2025-04-15 16:48:40,a,0.93,20.0
2025-04-15 16:48:42,a,0.82,6.21
2025-04-15 16:48:43,a,1.11,20.0
2025-04-15 16:48:54,a,1.01,16.39
2025-04-15 16:48:57,a,1.74,12.82
2025-04-15 16:48:59,a,0.85,20.0
2025-04-15 16:49:01,a,1.04,16.95
2025-04-15 16:49:02,a,0.8,19.61
2025-04-15 16:49:02,a,1.06,14.29
2025-04-15 16:49:02,a,0.7,12.82
2025-04-15 16:49:03,a,0.87,16.39
2025-04-15 16:49:41,a,0.98,0.03
2025-04-15 16:51:33,a,0.94,0.07
2025-04-15 16:52:23,a,0.95,16.39
2025-04-15 16:52:23,a,0.99,19.61
2025-04-15 16:52:24,a,0.94,14.29
2025-04-15 16:53:59,a,1.12,0.75
2025-04-15 16:54:00,a,1.06,9.09
2025-04-15 16:54:00,a,0.99,12.5
2025-04-15 16:54:02,a,0.96,3.68
2025-04-15 16:54:12,a,1.05,1.37
2025-04-15 16:54:18,a,0.99,0.21
2025-04-15 16:54:36,a,1.04,4.17
2025-04-15 16:55:45,a,1.14,12.5
2025-04-15 16:55:46,a,0.89,20.0
2025-04-15 16:55:47,a,0.97,2.55
2025-04-15 16:55:48,a,1.02,8.26
2025-04-15 16:55:48,a,0.96,20.0
2025-04-15 16:55:58,a,0.69,12.5
2025-04-15 16:55:58,a,0.78,19.61
2025-04-15 16:56:00,a,0.86,16.67
2025-04-15 16:56:09,a,0.95,0.11
2025-04-15 16:56:11,a,1.08,0.83
2025-04-15 16:56:11,a,1.03,9.09
2025-04-15 17:02:41,a,1.04,10.0
2025-04-15 17:02:47,a,1.13,20.0
2025-04-15 17:02:47,a,0.79,16.39
2025-04-15 17:02:48,a,0.93,20.0
2025-04-15 17:02:48,a,1.02,16.39
2025-04-15 17:02:48,a,1.08,8.85
2025-04-15 17:02:49,a,0.98,20.0
2025-04-15 17:02:50,a,0.86,10.0
2025-04-15 17:02:50,a,1.04,3.69
2025-04-15 17:02:51,a,1.13,5.49
2025-04-15 17:02:51,a,0.99,14.08
2025-04-15 17:02:57,a,1.05,0.16
2025-04-15 17:02:58,a,0.96,3.32
2025-04-15 17:03:15,a,1.03,0.06
2025-04-15 17:03:57,a,1.08,16.39
2025-04-15 17:04:02,a,0.97,0.18
2025-04-15 17:04:16,a,1.01,16.39
2025-04-15 17:04:36,a,0.93,0.05
2025-04-15 17:04:38,a,1.04,0.56
2025-04-15 17:05:03,a,0.95,0.04
